,Time,tv_sponsorships,tv_cricket,tv_RON,radio,NPP,Magazines,OOH,Social,Programmatic,Display_Rest,Search,Native,sales
190,2016-01-11,9.875,9.875,19.75,41.1,10.0,1.0,15,3.45625,20,2.765,2.212,5,10800
191,2016-01-12,18.875,18.875,37.75,10.8,10.0,1.0,15,6.60625,20,5.285,4.228,5,9900
192,2017-01-01,4.3,4.3,8.6,4.1,10.0,1.0,15,1.505,20,1.204,0.9632,5,5900
193,2017-01-02,41.7,41.7,83.4,42.0,10.0,1.0,15,14.595,20,11.676,9.3408,5,19600
194,2017-01-03,37.425,37.425,74.85,35.6,10.0,1.0,15,13.09875,20,10.479,8.3832,5,17300
195,2017-01-04,9.55,9.55,19.1,3.7,10.0,1.0,15,3.3425,20,2.674,2.1392,5,7600
196,2017-01-05,23.55,23.55,47.1,4.9,10.0,1.0,15,8.2425,20,6.594,5.2752,5,9700
197,2017-01-06,44.25,44.25,88.5,9.3,10.0,1.0,15,15.4875,20,12.39,9.912,5,12800
198,2017-01-07,70.9,70.9,141.8,42.0,10.0,1.0,15,24.815,20,19.852,15.8816,5,25500
199,2017-01-08,58.025,58.025,116.05,8.6,10.0,1.0,15,20.30875,20,16.247,12.9976,5,13400
